,moderate - very low,moderate - very low,high - low,high - low,very high - moderate,very high - moderate
,difference,percentage,difference,percentage,difference,percentage
2017,101,50.5,101,33.666666666666664,102,25.43640897755611
2018,101,56.111111111111114,101,36.07142857142857,102,26.771653543307085
2019,101,63.125,101,38.84615384615385,102,28.25484764542936
2020,96,64.0,81,35.21739130434783,122,34.75783475783476
2021,91,65.0,81,36.81818181818182,112,33.8368580060423
2022,86,66.15384615384616,81,38.57142857142857,102,32.79742765273312
2023,81,67.5,81,40.5,92,31.61512027491409
2024,76,69.0909090909091,81,42.63157894736842,82,30.25830258302583
2025,71,71.0,81,45.0,72,28.685258964143426
2026,66,73.33333333333333,81,47.64705882352941,62,26.83982683982684
2027,61,76.25,81,50.625,52,24.644549763033176
2028,56,80.0,81,54.0,42,21.98952879581152
2029,51,85.0,81,57.857142857142854,32,18.71345029239766
2030,46,92.0,81,62.30769230769231,22,14.56953642384106
